product_id,sub_category
2018,Foundation
2019,Face Mask
2020,Liquid Lipstick
2022,Nail Polish
2023,Cream
2024,Hair Serum
2025,Body Oil
2026,Face Brush
2027,Hair Mask
2029,Shampoo
2030,Conditioner
2033,Face Sunscreen
2034,Hair Serum
2036,Hair Serum
2037,Blush
2038,Shampoo
2039,Hair Serum
2041,Eye Gel Patch
2042,Hair Mask
2043,Makeup Brush
2045,Eyeshadow Palette
2046,Body Scrub
2047,Nail Polish
2048,Eau De Parfum
2049,Eyeliner
2052,Blush
2054,Shower Gel & Loofah
2056,Shower Gel
2058,Hair Spray
2059,Shampoo
2061,Mascara
2062,Nail Polish
2067,Deodorant
2068,Concealer
2071,Body Lotion
2073,Shampoo
2074,Hair Oil
2075,Mascara
2076,Blush
2077,Sheet Mask
2078,Face Serum
2079,Shampoo
2082,Eyeliner
2084,Shower Gel
2086,Blush
2089,Shampoo
2091,Hair Cream
2092,Buffing Brush
2094,Nail Polish
2096,Face Serum
2097,Body Oil
2098,Eau De Parfum
2100,Toner
2102,Face Primer
2107,Face Moisturiser
2108,Lipstick
2110,Face Serum
2111,Eau De Parfum
2112,Eyeliner
2115,Eau De Parfum
2118,Body Lotion
2121,Hair Serum
2124,Eau De Toilette
2126,Conditioner
2128,Lipstick
2129,Eau De Toilette
2130,Foundation
2131,Beard Colour Cream
2133,Makeup Brush
2135,Cotton Puff
2137,Eyeshadow Palette
2138,Loose Powder
2139,Nail Polish
2140,Liquid Lipstick
2141,Face Serum
2143,Eyeshadow Palette
2144,Face Serum
2145,Nail Polish
2146,Deodorant
2148,Nail Polish Remover
2149,Face Sunscreen
2154,Lip Balm
2155,Lipstick
2156,Sheet Mask
2157,Highlighter
2158,Body Mist
2159,Face Moisturizer
2162,Eau De Parfum
2163,Body Scrub
2164,"Body Wash, Body Mist & Body Oil"
2165,Razor Cartridge
2166,Kajal
2167,Face Wash
2168,Hair Serum
2169,Face Brush
2171,Eye Shadow
2173,Perfume
2174,Toner
2175,Body Wash
2176,Body Sunscreen
2181,Face Sunscreen
2183,Perfume
2185,Eyeliner
2186,Lip Tint
2187,Eau De Parfum
2188,"Body Wash, Perfume & Bag"
2191,Eau De Toilette Perfume
2193,Conditioner
2194,Eau De Parfum
2195,Body Scrub
2196,Eau De Parfum
2198,Hair Oil
2199,Toner
2200,Sunscreen
2202,Foundation
2204,Nail Polish
2205,Makeup Palette
2206,Nail Polish
2208,Body Wash
2209,Lip Gloss
2210,Eau De Parfum
2212,Compact
2213,Makeup Brush
2215,Nail Polish
2216,Face Oil
2224,Eyeshadow Palette
2226,Shampoo
2228,Body Scrub
2229,Hair Oil
2230,Nail Polish
2231,Eau De Parfum
2232,Eau De Toilette
2233,Eau De Parfum
2236,Compact Powder
2238,Hair Oil
2242,Eau De Parfum
2243,Eau De Parfum
2245,Kajal
2246,Face Sunscreen
2247,Hand Cream
2248,Face Serum
2251,Sheet Mask
2252,Sheet Mask
2253,Hand Cream
2254,Lip Gloss
2255,Body Scrub
2257,Face Moisturiser
2260,Hair Serum
2261,Lipstick
2262,Shampoo
2263,Foundation
2264,Eye Palette
2266,Body Lotion
2267,"Deo, Soap, Bath Shower Gel & After Shave Lotion"
2268,Essential Oil
2269,Bronzer
