product_id,brand
2218,Tree Hut
2221,bareMinerals
2224,Rom&nd
2226,L'Oreal Paris
2227,Kimirica
2228,The Body Shop
2229,Wella Professionals
2230,Nails Our Way
2231,Colour Me
2232,Ulric De Varens
2233,Boss
2236,Lakme
2238,Beauty Garage
2241,Fixderma
2242,Ajmal
2243,Diesel
2245,Maybelline New York
2246,The Derma Co
2247,L'occitane
2248,Foxtale
2251,The Face Shop
2252,Beauty of Joseon
2253,L'occitane
2254,Maybelline New York
2255,Dream. Immerse. Play.
2256,Namyaa
2257,Laneige
2258,Huda Beauty
2261,M.A.C
2262,Olaplex
2263,M.A.C
2264,Makeup Revolution
2266,The Body Shop
2267,Tabac
2268,WishCare
2269,PIXI
2271,mCaffeine
2273,Mixsoon
2275,Neyah
2276,FENTY BEAUTY
2277,Adidas
2278,Sheglam
2282,Laneige
2283,Nuse
2285,LOVE beauty AND planet
2286,Foxtale
2288,The Face Shop
2289,Bioderma
2291,OUAI
2292,Gucci
2293,O3+
2294,RENEE
2296,Pilgrim
2297,EMBARK
2298,Plum
2299,Colorbar
2300,Laneige
2301,M.A.C
2304,SUGAR Cosmetics
2305,ClayCo.
2307,Bioderma
2310,The Face Shop
2311,LOVE beauty AND planet
2312,SKIN COTTAGE
2315,Tresemme
2316,Foxtale
2317,KIKO Milano
2319,Beauty of Joseon
2321,Lakme
2323,Akind
2326,Huda Beauty
2327,Burberry
2328,Olaplex
2331,Colorbar
2332,Maybelline New York
2334,Huda Beauty
2335,FENTY BEAUTY
2337,CLINIQUE
2339,Olaplex
2340,SKIN1004
2341,Plum
2344,Shiseido
2349,Rom&nd
2350,Bobbi Brown
2351,Innisfree
2352,Rabanne
2353,Salvatore Ferragamo
2354,Plum
2357,L'Oreal Paris
2358,Nivea
